MONTH REPORTED,ABORTION/ILLEGAL,ARSON,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",ATTEMPTED ROBBERY,BATTERY - SIMPLE ASSAULT,BATTERY ON A FIREFIGHTER,BATTERY POLICE (SIMPLE),BATTERY WITH SEXUAL CONTACT,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",BIGAMY,BIKE - ATTEMPTED STOLEN,BIKE - STOLEN,BLOCKING DOOR INDUCTION CENTER,BOAT - STOLEN,BOMB SCARE,BRANDISH WEAPON,BRIBERY,"BUNCO, ATTEMPT","BUNCO, GRAND THEFT","BUNCO, PETTY THEFT",BURGLARY,BURGLARY FROM VEHICLE,"BURGLARY FROM VEHICLE, ATTEMPTED","BURGLARY, ATTEMPTED",CHILD ABANDONMENT,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,CHILD ANNOYING (17YRS & UNDER),CHILD NEGLECT (SEE 300 W.I.C.),CHILD PORNOGRAPHY,CHILD STEALING,CONSPIRACY,CONTEMPT OF COURT,CONTRIBUTING,COUNTERFEIT,"CREDIT CARDS, FRAUD USE ($950 & UNDER","CREDIT CARDS, FRAUD USE ($950.01 & OVER)",CRIMINAL HOMICIDE,CRIMINAL THREATS - NO WEAPON DISPLAYED,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),CRUELTY TO ANIMALS,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER","DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",DISCHARGE FIREARMS/SHOTS FIRED,DISHONEST EMPLOYEE - GRAND THEFT,DISHONEST EMPLOYEE - PETTY THEFT,DISHONEST EMPLOYEE ATTEMPTED THEFT,DISRUPT SCHOOL,DISTURBING THE PEACE,DOCUMENT FORGERY / STOLEN FELONY,DOCUMENT WORTHLESS ($200 & UNDER),DOCUMENT WORTHLESS ($200.01 & OVER),DRIVING WITHOUT OWNER CONSENT (DWOC),"DRUGS, TO A MINOR",DRUNK ROLL,DRUNK ROLL - ATTEMPT,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)","EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",EXTORTION,FAILURE TO DISPERSE,FAILURE TO YIELD,FALSE IMPRISONMENT,FALSE POLICE REPORT,FIREARMS RESTRAINING ORDER (FIREARMS RO),FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO),GRAND THEFT / AUTO REPAIR,GRAND THEFT / INSURANCE FRAUD,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,ILLEGAL DUMPING,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),INCITING A RIOT,INDECENT EXPOSURE,INTIMATE PARTNER - AGGRAVATED ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT,KIDNAPPING,KIDNAPPING - GRAND ATTEMPT,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",LEWD CONDUCT,LEWD/LASCIVIOUS ACTS WITH CHILD,LYNCHING,LYNCHING - ATTEMPTED,"MANSLAUGHTER, NEGLIGENT",ORAL COPULATION,OTHER ASSAULT,OTHER MISCELLANEOUS CRIME,PANDERING,PEEPING TOM,PETTY THEFT - AUTO REPAIR,PICKPOCKET,"PICKPOCKET, ATTEMPT",PIMPING,PROWLER,PURSE SNATCHING,PURSE SNATCHING - ATTEMPT,"RAPE, ATTEMPTED","RAPE, FORCIBLE",RECKLESS DRIVING,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",RESISTING ARREST,ROBBERY,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",SEXUAL PENETRATION W/FOREIGN OBJECT,SHOPLIFTING - ATTEMPT,SHOPLIFTING - PETTY THEFT ($950 & UNDER),SHOPLIFTING-GRAND THEFT ($950.01 & OVER),SHOTS FIRED AT INHABITED DWELLING,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,STALKING,TELEPHONE PROPERTY - DAMAGE,THEFT FROM MOTOR VEHICLE - ATTEMPT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT FROM PERSON - ATTEMPT,THEFT OF IDENTITY,THEFT PLAIN - ATTEMPT,THEFT PLAIN - PETTY ($950 & UNDER),"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","THEFT, COIN MACHINE - ATTEMPT","THEFT, COIN MACHINE - GRAND ($950.01 & OVER)","THEFT, COIN MACHINE - PETTY ($950 & UNDER)","THEFT, PERSON",THREATENING PHONE CALLS/LETTERS,THROWING OBJECT AT MOVING VEHICLE,TILL TAP - ATTEMPT,TILL TAP - GRAND THEFT ($950.01 & OVER),TILL TAP - PETTY ($950 & UNDER),TRAIN WRECKING,TRESPASSING,UNAUTHORIZED COMPUTER ACCESS,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",VANDALISM - MISDEAMEANOR ($399 OR UNDER),VEHICLE - ATTEMPT STOLEN,"VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS",VEHICLE - STOLEN,VIOLATION OF COURT ORDER,VIOLATION OF RESTRAINING ORDER,VIOLATION OF TEMPORARY RESTRAINING ORDER,WEAPONS POSSESSION/BOMBING
2010-01-01,0,30,8,684,127,1591,1,31,73,0,0,0,13,0,2,10,62,0,4,14,2,1278,1567,26,105,2,24,64,29,51,0,8,0,0,9,13,1,2,21,486,39,11,16,1,40,3,0,0,0,31,123,0,0,6,1,0,0,7,1,14,0,0,9,2,0,0,0,3,0,0,5,0,0,22,9,851,13,7,154,1,0,0,1,0,7,4,230,0,11,0,1,0,2,10,17,0,12,49,3,0,16,850,0,9,9,3,252,57,25,0,9,12,0,5,232,482,2,490,10,851,699,1,1,4,70,26,6,0,0,1,0,116,3,723,778,35,0,1398,205,110,2,1
2010-02-01,0,26,12,615,112,1459,0,40,61,1,0,0,10,0,0,10,60,0,4,11,3,1143,1483,25,98,0,19,92,49,55,0,14,0,0,4,15,1,5,16,483,51,16,11,1,29,0,2,0,2,39,125,0,0,1,0,1,0,20,3,17,0,1,5,1,0,0,0,4,0,0,4,0,0,22,18,787,15,5,172,7,0,0,0,0,3,7,229,2,3,0,1,0,2,8,13,2,7,49,1,0,15,765,0,15,4,0,249,44,17,0,8,18,0,10,233,509,5,746,7,748,699,0,1,0,90,42,15,0,1,0,0,113,3,739,791,27,0,1297,184,102,2,2
2010-03-01,0,20,10,680,111,1741,1,44,77,0,0,0,21,0,6,16,65,0,3,15,2,1261,1577,33,120,0,32,108,49,91,0,8,0,2,3,17,1,14,35,619,68,17,19,0,30,0,0,0,0,39,188,0,1,3,0,0,0,45,1,14,0,1,5,1,0,0,0,1,0,0,8,0,0,36,18,925,30,7,234,6,0,0,0,0,10,7,267,2,4,0,4,0,3,11,12,0,9,46,1,0,18,776,1,30,7,2,262,40,25,2,11,25,3,8,267,585,3,861,13,886,871,0,0,0,105,33,33,0,0,1,0,121,9,939,903,20,0,1508,228,133,9,2
2010-04-01,0,23,13,705,123,1696,1,34,85,0,0,0,13,0,0,16,60,0,1,13,1,1278,1585,33,111,1,25,126,61,67,0,7,1,1,2,15,0,14,27,553,63,25,12,3,42,0,0,0,0,34,183,0,1,3,0,0,0,45,1,27,0,1,7,0,0,0,0,1,0,0,2,0,0,37,18,822,22,8,239,4,0,1,0,0,5,8,240,3,7,0,4,1,3,7,24,1,12,61,0,0,19,810,0,37,10,1,238,32,30,4,4,10,0,2,272,494,2,876,8,883,841,0,0,0,75,38,13,0,1,0,0,118,3,873,822,23,0,1471,214,100,7,3
2010-05-01,0,23,8,774,111,1858,0,39,74,1,0,0,11,0,1,17,57,1,0,17,3,1311,1486,25,128,0,28,103,53,79,0,9,1,4,1,6,0,20,33,559,60,14,18,1,32,0,0,0,0,39,168,0,1,1,0,0,0,57,1,16,0,0,7,3,0,0,0,3,0,0,9,0,0,23,21,960,28,8,209,15,0,0,0,0,11,6,267,3,6,1,1,0,3,9,21,2,10,62,2,0,28,809,0,40,5,0,266,23,22,1,7,14,1,9,286,513,3,861,11,953,893,0,0,0,67,44,6,0,0,1,0,121,6,832,844,37,0,1331,243,113,7,2
2010-06-01,0,35,17,764,130,1829,2,69,92,0,0,0,11,0,3,10,66,2,3,22,3,1279,1358,31,132,3,25,113,60,78,0,6,2,2,1,5,1,14,26,599,73,18,16,4,27,1,0,0,0,38,174,0,0,5,0,0,0,45,1,20,0,1,13,1,0,0,0,1,0,0,2,0,0,31,18,959,24,10,207,16,0,0,0,0,12,11,235,1,13,1,1,0,2,9,12,3,14,62,2,0,16,780,0,19,12,0,234,29,20,2,6,9,0,5,247,553,7,887,9,934,834,0,1,0,107,45,21,0,0,1,0,126,9,897,862,26,0,1308,214,121,6,5
2010-07-01,0,24,25,768,109,1795,2,36,94,0,0,0,10,0,6,12,57,2,0,20,8,1320,1474,22,106,1,12,57,44,74,0,14,0,1,1,6,0,9,29,596,70,22,16,3,26,0,0,0,0,33,202,0,0,4,0,0,0,60,0,19,0,1,10,1,0,0,1,2,0,0,3,0,0,26,22,935,18,9,246,12,0,1,0,1,9,6,210,0,13,0,3,0,2,9,16,1,15,65,1,0,24,839,1,38,10,1,260,41,26,0,2,21,0,6,307,495,3,948,17,1009,920,0,0,0,85,32,17,1,0,0,0,118,4,838,849,34,0,1368,239,129,6,5
2010-08-01,0,34,10,713,125,1761,1,31,93,0,0,0,22,0,5,16,81,1,2,12,3,1311,1377,32,107,0,21,53,34,74,0,16,0,1,0,7,0,6,21,532,76,14,17,1,29,2,0,0,0,40,199,1,0,1,0,0,0,51,5,8,0,2,7,2,0,0,0,2,0,0,2,0,0,26,23,847,22,5,251,15,0,0,0,0,12,12,247,4,13,0,0,0,3,14,14,1,10,75,0,0,23,798,6,43,9,0,248,31,20,2,11,10,0,7,235,546,6,973,11,920,936,0,0,0,78,29,14,0,0,0,0,107,8,887,844,29,0,1373,243,128,1,4
2010-09-01,0,30,12,679,106,1660,1,28,84,0,1,0,13,0,5,12,76,0,2,18,8,1261,1328,35,116,6,24,69,48,70,0,9,1,0,2,14,1,3,18,542,61,21,17,1,17,2,1,0,0,31,203,1,3,8,0,0,0,30,2,15,0,1,5,2,0,0,0,0,0,0,7,0,0,25,18,873,25,7,220,16,0,0,0,0,6,7,222,4,6,0,3,0,10,11,15,0,17,79,2,0,25,776,5,37,7,0,265,35,28,2,10,17,1,4,235,507,1,842,15,879,886,0,0,1,94,35,18,0,0,0,0,122,6,847,783,19,0,1281,235,112,3,2
2010-10-01,0,30,18,659,93,1800,3,39,72,0,0,0,13,0,3,9,56,1,2,22,8,1392,1410,34,108,1,36,96,52,86,0,8,0,0,2,12,1,8,21,547,69,21,12,0,24,0,0,0,0,34,193,0,1,7,0,2,0,57,1,11,0,1,4,3,0,0,0,1,0,0,2,0,0,22,21,856,23,5,214,15,0,0,0,0,10,8,237,0,6,0,2,0,0,9,22,0,9,65,7,0,35,810,4,45,9,0,255,42,19,2,10,17,0,14,253,526,5,822,15,933,1085,0,0,2,86,28,15,1,0,0,0,117,8,783,823,38,0,1368,179,111,8,1
