month,crime_count,cpi_transportation,cpi_medical_care,cpi_food_berage,cpi_fuel_utilites,unemployment_rate,home_price_index,rent_index
2010-01-01,15547,188.944,369.301,223.797,248.418,13,174.441151537981,NA
2010-02-01,15113,187.683,371.331,222.639,249.84,12.7,174.467322796931,NA
2010-03-01,17595,189.896,372.198,223.271,253.828,12.6,173.67488892820202,NA
2010-04-01,17002,190.617,372.033,224.224,252.612,12.1,174.039782223717,NA
2010-05-01,17338,191.136,372.901,224.744,256.627,12.1,175.156910771811,NA
2010-06-01,17228,191.226,375.139,224.013,247.364,12.4,174.79624402079602,NA
2010-07-01,17520,192.057,376.003,223.654,253.127,13.2,174.23030389845297,NA
2010-08-01,17135,191.998,376.583,223.031,253.315,13,172.966456222309,NA
2010-09-01,16411,189.222,377.168,224.157,249.552,12.6,172.788770252137,NA
2010-10-01,17085,191.692,376.862,225.888,259.958,12.4,172.595208236266,NA
2010-11-01,15938,191.951,377.674,224.971,252.524,12.6,172.685768522766,NA
2010-12-01,16623,194.149,377.929,226.587,257.804,12.3,171.43432749872102,NA
2011-01-01,16840,196.654,382.99,228.5,260.403,12.7,171.508802621903,NA
2011-02-01,14402,199.58,387.532,229.505,263.977,12.3,170.947274491303,NA
2011-03-01,16951,209.781,384.682,230.751,261.967,12.1,170.704779007285,NA
2011-04-01,16224,214.83,386.536,232.551,264.953,11.7,170.129687294114,NA
2011-05-01,17050,215.476,386.858,232.278,268.6,11.9,169.202945932412,NA
2011-06-01,16840,211.622,387.457,232.188,255.653,12.5,168.559427236916,NA
2011-07-01,16910,208.163,389.587,231.494,255.864,13.1,167.962186940464,NA
2011-08-01,17139,207.211,392.076,233.606,258.19,12.8,166.922805573039,NA
2011-09-01,16153,209.803,391.336,234.622,255.275,12.4,165.728323470463,NA
2011-10-01,16785,208.76,393.679,234.872,261.379,12,164.28556289739402,NA
2011-11-01,16322,207.779,392.673,236.002,259.957,11.6,163.612947754335,NA
2011-12-01,16246,203.635,393.163,235.488,259.471,11.5,162.805901498741,NA
2012-01-01,17010,206.658,397.043,235.42,262.356,11.8,162.452989505528,NA
2012-02-01,15279,211.332,398.831,235.931,259.811,11.6,162.112795023448,NA
2012-03-01,16678,219.369,400.907,236.855,261.25,11.3,162.330845259922,NA
2012-04-01,16261,217.522,401.008,237.421,259.017,10.6,163.678546038079,NA
2012-05-01,17391,218.969,403.541,236.415,263.367,10.8,165.540286891927,NA
2012-06-01,16812,213.354,403.302,236.96,260.15,11.3,167.254792969292,NA
2012-07-01,17083,209.421,407.977,236.712,262.645,11.9,168.661992593751,NA
2012-08-01,17697,214.279,406.661,237.023,263.932,11.4,170.648125426684,NA
2012-09-01,16777,216.255,408.131,237.368,262.004,10.5,172.711604433945,NA
2012-10-01,17476,222.824,407.581,237.614,274.415,10.5,174.79039300703099,NA
2012-11-01,15693,210.931,408.227,238.203,271.773,10,176.54201805770302,NA
2012-12-01,15951,206.535,404.357,238.541,274.041,10.2,179.575982528886,NA
2013-01-01,16232,208.428,406.091,239.902,287.171,10.9,182.185991784776,NA
2013-02-01,14188,217.344,408.199,238.699,288.568,10.3,184.879043660623,NA
2013-03-01,16262,217.37,405.563,238.345,286.947,9.8,188.98059643545798,NA
